URL,Match_Status,Last_Segment,3rd Party Link,Has Contextual Ad,Match domain,Merchant Name,NAPM?,Affiliate ID,dealspotr URL
https://refermate.com/stores/myfreedomsmokes-com-promo-codes,Not Matched,myfreedomsmokes.com,true,true,,MyFreedomSmokes.com,true,93029,
https://refermate.com/stores/singlesswag-promo-codes,Matched,singlesswag.com,true,true,singlesswag.com,SinglesSwag,true,41617,https://dealspotr.com/promo-codes/singlesswag.com
https://refermate.com/stores/frigirl-promo-codes,Matched,frigirl.com,true,true,frigirl.com,Frigirl,false,,https://dealspotr.com/promo-codes/frigirl.com
https://refermate.com/stores/clinique-us-promo-codes,Matched,clinique.com,true,true,clinique.com,Clinique US,true,5841,https://dealspotr.com/promo-codes/clinique.com
https://refermate.com/stores/cole-haan-promo-codes,Matched,colehaan.com,true,true,colehaan.com,Cole Haan,true,5997,https://dealspotr.com/promo-codes/colehaan.com
https://refermate.com/stores/columbia-sportswear-promo-codes,Matched,columbia.com,true,true,columbia.com,Columbia Sportswear,true,3153,https://dealspotr.com/promo-codes/columbia.com
https://refermate.com/stores/converse-promo-codes,Matched,converse.com,true,true,converse.com,Converse,true,5551,https://dealspotr.com/promo-codes/converse.com
https://refermate.com/stores/dresswe-promo-codes,Not Matched,dresswe.com,true,true,,DressWe,false,,
https://refermate.com/stores/stylishplus-inc-promo-codes,Not Matched,stylishplus.com,false,false,,StylishPlus Inc,false,,
https://refermate.com/stores/wholesale7-promo-codes,Matched,wholesale7.net,true,true,wholesale7.net,Wholesale7,true,5487707,https://dealspotr.com/promo-codes/wholesale7.net
https://refermate.com/stores/eastbay-promo-codes,Not Matched,eastbay.com,true,true,,Eastbay,false,,
https://refermate.com/stores/eddie-bauer-promo-codes,Matched,eddiebauer.com,true,true,eddiebauer.com,Eddie Bauer,true,5382,https://dealspotr.com/promo-codes/eddiebauer.com
https://refermate.com/stores/etsy-promo-codes,Matched,etsy.com,true,true,etsy.com,Etsy,true,8686,https://dealspotr.com/promo-codes/etsy.com
https://refermate.com/stores/banana-republic-promo-codes,Matched,bananarepublic.gap.com,true,true,bananarepublic.gap.com,Banana Republic,true,3255,https://dealspotr.com/promo-codes/bananarepublic.gap.com
https://refermate.com/stores/homage-promo-codes,Matched,homage.com,true,true,homage.com,Homage,true,76751,https://dealspotr.com/promo-codes/homage.com
https://refermate.com/stores/bed-in-a-box-promo-codes,Matched,bedinabox.com,true,true,bedinabox.com,Bed In A Box,true,17961617,https://dealspotr.com/promo-codes/bedinabox.com
https://refermate.com/stores/vegalash-promo-codes,Matched,vegamour.com,true,true,vegamour.com,VegaLASH,true,16629724,https://dealspotr.com/promo-codes/vegamour.com
https://refermate.com/stores/qalo-promo-codes,Matched,qalo.com,true,true,qalo.com,QALO,true,75553,https://dealspotr.com/promo-codes/qalo.com
https://refermate.com/stores/dockers-promo-codes,Not Matched,dockers.com,true,true,,Dockers,true,28694,
https://refermate.com/stores/e-l-f-cosmetics-promo-codes,Matched,elfcosmetics.com,true,true,elfcosmetics.com,e.l.f. Cosmetics,true,189,https://dealspotr.com/promo-codes/elfcosmetics.com
https://refermate.com/stores/express-promo-codes,Matched,express.com,true,true,express.com,Express,true,1962,https://dealspotr.com/promo-codes/express.com
https://refermate.com/stores/fossil-promo-codes,Matched,fossil.com,true,true,fossil.com,Fossil,false,,https://dealspotr.com/promo-codes/fossil.com
https://refermate.com/stores/guess-promo-codes,Matched,guess.com,true,true,guess.com,GUESS,false,,https://dealspotr.com/promo-codes/guess.com
https://refermate.com/stores/hugo-boss-promo-codes,Not Matched,hugoboss.com,true,true,,Hugo Boss,false,,
https://refermate.com/stores/kenneth-cole-promo-codes,Matched,kennethcole.com,true,true,kennethcole.com,Kenneth Cole,true,7245,https://dealspotr.com/promo-codes/kennethcole.com
https://refermate.com/stores/lacoste-promo-codes,Matched,lacoste.com,true,true,lacoste.com,Lacoste,false,,https://dealspotr.com/promo-codes/lacoste.com
https://refermate.com/stores/lane-bryant-promo-codes,Matched,lanebryant.com,true,true,lanebryant.com,Lane Bryant,true,963,https://dealspotr.com/promo-codes/lanebryant.com
https://refermate.com/stores/lucky-brand-promo-codes,Matched,luckybrand.com,true,true,luckybrand.com,Lucky Brand,true,10299,https://dealspotr.com/promo-codes/luckybrand.com
https://refermate.com/stores/michael-kors-promo-codes,Matched,michaelkors.com,true,true,michaelkors.com,Michael Kors,true,14046,https://dealspotr.com/promo-codes/michaelkors.com
https://refermate.com/stores/neiman-marcus-last-call-promo-codes,Not Matched,lastcall.com,true,true,,Neiman Marcus Last Call,false,,
https://refermate.com/stores/newbalance-com-promo-codes,Matched,newbalance.com,true,true,newbalance.com,NewBalance.com,true,761,https://dealspotr.com/promo-codes/newbalance.com
https://refermate.com/stores/new-york-company-promo-codes,Matched,nyandcompany.com,true,true,nyandcompany.com,New York & Company,false,,https://dealspotr.com/promo-codes/nyandcompany.com
https://refermate.com/stores/oakley-promo-codes,Not Matched,oakley.com,true,true,,Oakley,false,,
https://refermate.com/stores/inkwell-press-promo-codes,Matched,inkwellpress.com,true,true,inkwellpress.com,InkWELL Press,false,,https://dealspotr.com/promo-codes/inkwellpress.com
https://refermate.com/stores/miss-mary-of-sweden-promo-codes,Matched,missmaryofsweden.com,true,true,missmaryofsweden.com,Miss Mary of Sweden,false,,https://dealspotr.com/promo-codes/missmaryofsweden.com
https://refermate.com/stores/fabfitfun-promo-codes,Matched,fabfitfun.com,true,true,fabfitfun.com,FabFitFun,true,12727,https://dealspotr.com/promo-codes/fabfitfun.com
https://refermate.com/stores/old-navy-promo-codes,Matched,oldnavy.gap.com,true,true,oldnavy.gap.com,Old Navy,true,3256,https://dealspotr.com/promo-codes/oldnavy.gap.com
https://refermate.com/stores/aeropostale-promo-codes,Matched,aeropostale.com,true,true,aeropostale.com,Aeropostale,true,5158,https://dealspotr.com/promo-codes/aeropostale.com
https://refermate.com/stores/pacsun-promo-codes,Matched,pacsun.com,true,true,pacsun.com,PacSun,true,2740,https://dealspotr.com/promo-codes/pacsun.com
https://refermate.com/stores/puma-promo-codes,Matched,us.puma.com,true,true,us.puma.com,Puma,true,959,https://dealspotr.com/promo-codes/us.puma.com
